height,Model,Scenarios,Ensemble,Final year,slope,intercept,r_value,p_value,std_err,Time Span
TUS,CanESM5,SSP3-7.0,r4i1p2f1,2037,-0.08834134376293291,405.063432732096,-0.9521344110626382,4.6073424981064325e-08,0.007866121052780976,15 years
TUS,CanESM5,SSP3-7.0,r4i1p2f1,2032,-0.12641205735362868,482.21731220876893,-0.9887769281655908,6.848004270485443e-08,0.006752958639033808,10 years
TUS,CanESM5,SSP3-7.0,r4i1p2f1,2027,-0.13431152714636596,498.2264235597529,-0.9765962118727716,0.004282847193058531,0.017078105130229455,5 years
TUS,CanESM5,SSP3-7.0,r3i1p2f1,2042,-0.0977052188509457,424.0842641900647,-0.9798740909927416,4.7834959822030916e-14,0.0046914573591511225,20 years
TUS,CanESM5,SSP3-7.0,r3i1p2f1,2037,-0.09682161631746493,422.2895592658052,-0.9560551132390034,2.6689237124983494e-08,0.008234977977788757,15 years
TUS,CanESM5,SSP3-7.0,r3i1p2f1,2032,-0.1371033053496893,503.9243332957691,-0.9916695172935196,2.0859823254877633e-08,0.0062962170294282235,10 years
TUS,CanESM5,SSP3-7.0,r3i1p2f1,2027,-0.15053277182095146,531.1198126557751,-0.9748524332534018,0.004769059998826865,0.01986766646973549,5 years
TUS,CanESM5,SSP3-7.0,r3i1p1f1,2042,-0.09452552992156087,417.62527715902917,-0.9798076129272991,4.9264039085903685e-14,0.004546501984590327,20 years
TUS,CanESM5,SSP3-7.0,r3i1p1f1,2037,-0.09110731692627039,410.6886427716544,-0.9610156274146112,1.2400548487347457e-08,0.007270042216355163,15 years
TUS,CanESM5,SSP3-7.0,r3i1p1f1,2032,-0.12036431866950105,469.98253991393074,-0.9718963511705008,2.6381936076937384e-06,0.010307568115068822,10 years
TUS,CanESM5,SSP3-7.0,r4i1p2f1,2042,-0.09280763800014305,414.1234174649743,-0.9788542025426199,7.436251381630622e-14,0.004571391225175736,20 years
TUS,CanESM5,SSP3-7.0,r14i1p1f1,2032,-0.13126608282344276,492.06829806110824,-0.9862405747293808,1.542376214846277e-07,0.00777930390271039,10 years
TUS,CanESM5,SSP3-7.0,r21i1p2f1,2032,-0.13100254861878002,491.5414418202998,-0.9823817462197253,4.1268427452700135e-07,0.008811088084217778,10 years
TUS,CanESM5,SSP3-7.0,r21i1p1f1,2042,-0.09476459555403353,418.10209265123757,-0.9806874943733956,3.309601970788698e-14,0.004454577458103198,20 years
TUS,CanESM5,SSP3-7.0,r17i1p1f1,2027,-0.186303401537657,603.5392533337119,-0.9622985333411601,0.008737754684167758,0.030402688892665713,5 years
TUS,CanESM5,SSP3-7.0,r16i1p2f1,2042,-0.09368102679842519,415.89817500629954,-0.9748735720938361,3.461225775046448e-13,0.005045475681355238,20 years
TUS,CanESM5,SSP3-7.0,r16i1p2f1,2037,-0.09289815397243807,414.3083504795185,-0.9442906907014753,1.2121035134586683e-07,0.008979955509502976,15 years
TUS,CanESM5,SSP3-7.0,r16i1p2f1,2032,-0.13616723430546618,501.997571193397,-0.9863167634782178,1.5086357213280103e-07,0.008046923628452645,10 years
TUS,CanESM5,SSP3-7.0,r16i1p2f1,2027,-0.16437077530572142,559.1047705737863,-0.9897866096560789,0.0012371498054753625,0.01366817779124604,5 years
TUS,CanESM5,SSP3-7.0,r16i1p1f1,2042,-0.0933754670213159,415.28799873119374,-0.9836395472841969,7.516853383717199e-15,0.004030784600973287,20 years
TUS,CanESM5,SSP3-7.0,r16i1p1f1,2037,-0.09485909998371023,418.2949379090132,-0.9661905313488747,4.975497758650368e-09,0.007020637014229033,15 years
TUS,CanESM5,SSP3-7.0,r16i1p1f1,2032,-0.12797289591888392,485.4023802199997,-0.9892968499407335,5.6680746471574365e-08,0.006673474152041987,10 years
TUS,CanESM5,SSP3-7.0,r16i1p1f1,2027,-0.13678101658596803,503.24429619807205,-0.9763968787126502,0.004337549194733179,0.017468701190597957,5 years
TUS,CanESM5,SSP3-7.0,r15i1p2f1,2042,-0.09701933639291263,422.6919042480018,-0.9786929140904523,7.957919446580592e-14,0.004797630877656952,20 years
